trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
8182436,07:04:00,07:04:00,108,1,0,0
8182436,07:07:00,07:07:00,106,2,0,0
8182436,07:10:00,07:10:00,105,3,0,0
8182436,07:26:00,07:26:00,4,4,1,0
8182436,07:39:00,07:39:00,1,5,0,0
8182437,07:29:00,07:29:00,112,1,0,0
8182437,07:32:00,07:32:00,111,2,0,0
8182437,07:36:00,07:36:00,110,3,0,0
8182437,08:10:00,08:10:00,1,4,0,0
8182438,07:51:00,07:51:00,108,1,0,0
8182438,07:54:00,07:54:00,106,2,0,0
8182438,07:57:00,07:57:00,105,3,0,0
8182438,08:13:00,08:13:00,4,4,1,0
8182438,08:26:00,08:26:00,1,5,0,0
8182439,08:17:00,08:17:00,108,1,0,0
8182439,08:20:00,08:20:00,106,2,0,0
8182439,08:23:00,08:23:00,105,3,0,0
8182439,08:39:00,08:39:00,4,4,1,0
8182439,08:52:00,08:52:00,1,5,0,0
8182440,08:14:00,08:14:00,112,1,0,0
8182440,08:17:00,08:17:00,111,2,0,0
8182440,08:20:00,08:20:00,110,3,0,0
8182440,08:41:00,08:41:00,4,4,1,0
8182440,08:54:00,08:54:00,1,5,0,0
8182441,08:34:00,08:34:00,112,1,0,0
8182441,08:37:00,08:37:00,111,2,0,0
8182441,08:40:00,08:40:00,110,3,0,0
8182441,08:44:00,08:44:00,108,4,0,0
8182441,08:47:00,08:47:00,106,5,0,0
8182441,08:50:00,08:50:00,105,6,0,0
8182441,09:18:00,09:18:00,1,7,0,0
8182442,08:52:00,08:52:00,112,1,0,0
8182442,08:55:00,08:55:00,111,2,0,0
8182442,08:58:00,08:58:00,110,3,0,0
8182442,09:02:00,09:02:00,108,4,0,0
8182442,09:05:00,09:05:00,106,5,0,0
8182442,09:08:00,09:08:00,105,6,0,0
8182442,09:17:00,09:17:00,56,7,1,0
8182442,09:26:00,09:26:00,4,8,1,0
8182442,09:38:00,09:38:00,1,9,0,0
8182443,09:26:00,09:26:00,112,1,0,0
8182443,09:29:00,09:29:00,111,2,0,0
8182443,09:32:00,09:32:00,110,3,0,0
8182443,09:36:00,09:36:00,108,4,0,0
8182443,09:39:00,09:39:00,106,5,0,0
8182443,09:42:00,09:42:00,105,6,0,0
8182443,09:52:00,09:52:00,56,7,1,0
8182443,10:00:00,10:00:00,4,8,1,0
8182443,10:11:00,10:11:00,1,9,0,0
8182444,09:53:00,09:53:00,112,1,0,0
8182444,09:56:00,09:56:00,111,2,0,0
8182444,09:59:00,09:59:00,110,3,0,0
8182444,10:03:00,10:03:00,108,4,0,0
8182444,10:06:00,10:06:00,106,5,0,0
8182444,10:09:00,10:09:00,105,6,0,0
8182444,10:19:00,10:19:00,56,7,1,0
8182444,10:27:00,10:27:00,4,8,1,0
8182444,10:38:00,10:38:00,1,9,0,0
8182446,10:23:00,10:23:00,112,1,0,0
8182446,10:26:00,10:26:00,111,2,0,0
8182446,10:29:00,10:29:00,110,3,0,0
8182446,10:33:00,10:33:00,108,4,0,0
8182446,10:36:00,10:36:00,106,5,0,0
8182446,10:39:00,10:39:00,105,6,0,0
8182446,10:49:00,10:49:00,56,7,1,0
8182446,10:57:00,10:57:00,4,8,1,0
8182446,11:08:00,11:08:00,1,9,0,0
8182455,17:15:00,17:15:00,112,1,0,0
8182455,17:18:00,17:18:00,111,2,0,0
8182455,17:21:00,17:21:00,110,3,0,0
8182455,17:25:00,17:25:00,108,4,0,0
8182455,17:28:00,17:28:00,106,5,0,0
8182455,17:31:00,17:31:00,105,6,0,0
8182455,17:41:00,17:41:00,56,7,1,0
8182455,17:49:00,17:49:00,4,8,1,0
8182455,18:04:00,18:04:00,1,9,0,0
8182457,18:22:00,18:22:00,112,1,0,0
8182457,18:25:00,18:25:00,111,2,0,0
8182457,18:28:00,18:28:00,110,3,0,0
8182457,18:32:00,18:32:00,108,4,0,0
8182457,18:35:00,18:35:00,106,5,0,0
8182457,18:38:00,18:38:00,105,6,0,0
8182457,18:48:00,18:48:00,56,7,1,0
8182457,18:56:00,18:56:00,4,8,1,0
8182457,19:08:00,19:08:00,1,9,0,0
8182459,24:02:00,24:02:00,124,1,0,0
8182459,24:05:00,24:05:00,121,2,0,0
8182459,24:07:00,24:07:00,120,3,0,0
8182459,24:09:00,24:09:00,118,4,0,0
8182459,24:12:00,24:12:00,116,5,0,0
8182459,24:16:00,24:16:00,115,6,0,0
8182459,24:20:00,24:20:00,114,7,0,0
8182459,24:25:00,24:25:00,112,8,0,0
8182459,24:28:00,24:28:00,111,9,0,0
8182459,24:31:00,24:31:00,110,10,0,0
8182459,24:35:00,24:35:00,108,11,0,0
8182459,24:38:00,24:38:00,106,12,0,0
8182459,24:41:00,24:41:00,105,13,0,0
8182459,24:51:00,24:51:00,56,14,1,0
8182459,25:03:00,25:03:00,4,15,1,0
8182459,25:14:00,25:14:00,1,16,0,0
8182461,04:40:00,04:40:00,124,1,0,0
8182461,04:43:00,04:43:00,121,2,0,0
8182461,04:45:00,04:45:00,120,3,0,0
8182461,04:47:00,04:47:00,118,4,0,0
8182461,04:50:00,04:50:00,116,5,0,0
8182461,04:54:00,04:54:00,115,6,0,0
8182461,04:58:00,04:58:00,114,7,0,0
8182461,05:03:00,05:03:00,112,8,0,0
8182461,05:06:00,05:06:00,111,9,0,0
8182461,05:09:00,05:09:00,110,10,0,0
8182461,05:13:00,05:13:00,108,11,0,0
8182461,05:16:00,05:16:00,106,12,0,0
8182461,05:19:00,05:19:00,105,13,0,0
8182461,05:27:00,05:27:00,56,14,1,0
8182461,05:36:00,05:36:00,4,15,1,0
8182461,05:47:00,05:47:00,1,16,0,0
8182463,05:13:00,05:13:00,124,1,0,0
8182463,05:16:00,05:16:00,121,2,0,0
